names,address,city,phone_number,dth_pack,subscription_status,customer_class,ott_subscription,dth_pack_price,no_of_channels,active_since,viewtime,churn
Jacqueline Smith,"Unit 1542 Box 3497,DPO AE 90645",New Christine,645.119.0445x28112,Standard,False,Individual,Amazon Prime Video,350,400,0,2359,True
Jennifer Shepherd,"21348 Davis Curve,Simsside, MN 94808",South Jordanside,001-128-319-4205x9034,HD,True,Home,Netflix,500,450,1235,332,False
Timothy Reed,"520 Joseph Mountain Apt. 722,Briggsshire, ND 20713",Barrettville,+1-565-090-8035x021,Standard,False,Individual,Netflix,350,400,0,5338,False
Shawn Mendez,"69273 Christopher Forge Apt. 881,Hendersonberg, NC 70577",Bauerbury,302.524.4627x762,Standard,True,Individual,Amazon Prime Video,350,400,1168,71,False
Timothy Gallagher,"39497 Spencer Springs Suite 397,Thorntonside, CT 54071",Clarkhaven,391-117-7199x83243,Standard,True,Individual,Other,350,400,170,78,False
Aimee Jones,"812 Adam Manors,West John, MO 19700",Port Tammy,(546)915-9359x5889,Standard,True,Individual,Amazon Prime Video,350,400,241,99,False
Renee Aguirre MD,"45970 Michael Keys,Camposton, CO 04066",East Darius,+1-082-594-1128x24424,Standard,True,Individual,Netflix,350,400,1868,493,False
Emily Smith,"972 Wiggins Stream,Martinport, CT 34817",Steinview,+1-193-047-2957x754,UHD,True,Home,Netflix,700,500,396,162,False
Miss Jean Smith,"3959 Long Alley,Port James, DE 61612",Margaretburgh,307-628-1046x10529,UHD,True,Home,Netflix,700,500,1304,451,False
Kristen Quinn,"PSC 1258, Box 9733,APO AP 48130",East Sarafurt,850-829-9308x7458,Standard,True,Individual,Hulu,350,400,654,70,False
Melinda Hicks,"USS Warner,FPO AP 08228",Claudiaberg,204.871.6563,Standard,False,Individual,None,350,400,0,3729,False
Michael Diaz,"7664 Miller Walk,East Wendymouth, OK 99865",Port Robertfurt,780.618.6431,Standard,True,Home,Amazon Prime Video,350,400,328,14,False
Mark Lopez,"4506 Jordan Fields,Kimberlyville, ND 05693",Bradfurt,1550905476,UHD,True,Individual,Netflix,700,500,501,201,False
Thomas Cortez,"5962 Johnson Lane,Johnschester, ME 36714",Paigeshire,001-433-397-9602x1063,Standard,True,Individual,Netflix,350,400,1290,88,False
Larry Smith,"231 Wilson Pass Apt. 190,West Cathyfort, ME 65202",North Johntown,+1-185-313-2748x7166,Standard,True,Individual,Netflix,350,400,861,78,True
Stephanie Herring,"9933 Miller Burgs,New Natalie, AK 22409",North Tonyafort,615-153-0189x074,Standard,False,Individual,Other,350,400,0,283,True
Tyler Little,"82320 Marks Island,North Kaylachester, PA 14593",Heatherside,467.384.7821,Standard,False,Individual,Other,350,400,0,2138,False
Linda Williams,"208 Perez Mountains Apt. 041,Jacksonside, NM 74437",Lake Rodney,+1-066-237-1610x766,Standard,True,Individual,Netflix,350,400,698,37,False
Jose Jefferson,"1929 Norris Causeway Suite 639,Jakeburgh, OK 33656",Doyleville,(765)849-4321x43711,Standard,False,Individual,Amazon Prime Video,350,400,0,5651,True
Jacqueline Turner,"0697 Bobby Light Suite 020,East John, UT 40997",East Ashleyview,(914)376-3103,Standard,False,Commercial,Amazon Prime Video,350,400,0,2214,True
Corey Parker,"PSC 3794, Box 4864,APO AE 53182",Lake Jasonmouth,+1-989-931-1088,Standard,True,Commercial,None,350,400,1798,651,False
Tracy Ellis,"2122 Shannon Keys,North Paigeberg, WI 72825",West Diana,542-147-4066,HD,False,Commercial,Amazon Prime Video,500,450,0,4434,False
Mary Monroe PhD,"1849 Katherine Inlet Suite 199,North Michael, NC 56111",Boltonborough,+1-486-449-8698,UHD,True,Individual,Netflix,700,500,647,229,True
Vanessa Young,"84230 Eric Shores Apt. 147,West Anthonybury, ME 77965",Sherriside,+1-882-002-9116x41112,Standard,True,Individual,None,350,400,1997,716,False
Richard Duncan,"7749 Garcia Lake,Jenkinsbury, NV 05615",Brendanmouth,543-702-4769,Standard,True,Individual,Amazon Prime Video,350,400,209,15,True
Paula Blair,"4622 Cooper Fort Suite 811,Jeffersonfort, GA 81844",New Victor,(052)394-1921,HD,False,Home,Netflix,500,450,0,2839,False
Nathaniel Johnson,"9209 Derrick Burg Suite 719,South Dannyberg, HI 99730",Wilsonside,001-756-023-8614x477,Standard,True,Home,None,350,400,1048,332,True
Christy Wyatt,"5075 Houston Ville,Gutierrezmouth, NH 13289",West Katherinefurt,(642)680-6715x8067,Standard,True,Home,Amazon Prime Video,350,400,1441,238,True
Patricia Carroll,"041 James Rapid,Katherinemouth, VA 46644",Haynesfort,055.275.6076,Standard,False,Individual,None,350,400,0,4612,False
Donald Morris,"863 Allison Ford Suite 083,Tanyachester, ND 82938",Sarahfort,252-884-8564x3984,UHD,True,Individual,Other,700,500,460,57,False
Felicia Smith,"411 Amber Valley,South Todd, AR 11186",Pattonport,962.971.4194x96275,Standard,True,Commercial,Amazon Prime Video,350,400,1405,165,False
Christopher Potts,"1320 Matthew Fields,East Adrianachester, WV 90611",Leeside,3726221487,HD,True,Individual,Other,500,450,314,19,False
Brianna Osborne,"438 Wilcox Camp Apt. 093,Andersonburgh, NC 86616",Murphychester,001-423-280-1037x61474,Standard,True,Individual,Amazon Prime Video,350,400,194,82,False
Patrick Lee,"890 Collins Points Apt. 551,Andrewstad, IL 86918",Alejandroberg,0710151666,HD,False,Commercial,Amazon Prime Video,500,450,0,4205,False
Chris Moody,"5758 Drake Prairie Suite 162,Lisaton, OK 55113",Youngborough,720-569-9176x91208,HD,True,Commercial,Other,500,450,906,61,True
Gregory Morales,"45854 Erica Island Apt. 842,Moraleston, AZ 58495",Davilaview,250.316.7743,UHD,True,Home,Hulu,700,500,397,160,False
Dawn Hobbs,"USS Lane,FPO AE 28982",West Ivan,(053)531-4937,HD,False,Individual,Amazon Prime Video,500,450,0,1927,False
Stacey Wise,"69498 Gallagher Bypass,Marymouth, CA 78664",New Karenport,269.886.1612x2198,Standard,True,Home,Netflix,350,400,1491,697,False
Travis Becker,"8199 King Mountains,Johnsonborough, KS 98174",West Jennifer,712.857.1861x634,HD,True,Individual,None,500,450,1832,57,True
Nicole Boyer,"2583 Cohen Hills Apt. 981,Carriehaven, AZ 04876",New Monicaport,478-059-5705x632,Standard,False,Commercial,None,350,400,0,9913,True
Mark Blevins,"821 Lauren Avenue,East Robert, MT 57482",Port Jamie,(186)642-6478,HD,True,Individual,Netflix,500,450,902,15,True
Gabriel Snyder,"5015 Natalie Stream Apt. 354,Johnnyshire, SC 40774",South Samanthachester,(002)073-9111x6790,HD,False,Commercial,None,500,450,0,9790,False
Bradley Gillespie,"887 Murphy Rest,Port Sally, RI 13121",East Brandon,412.151.5578x8114,Standard,True,Home,Amazon Prime Video,350,400,185,25,False
Natalie Chapman,"230 Richard Fords Apt. 410,Davidton, KY 56113",Courtneybury,999.225.8152x226,Standard,True,Individual,Other,350,400,547,233,False
Nicolas Lyons,"92240 Rivers Track Suite 795,New Gregory, KY 44746",North Thomasmouth,103-300-7024x585,Standard,True,Individual,None,350,400,518,31,True
Robert Serrano,"USNV Ortiz,FPO AE 54821",Louisberg,086.151.8068,HD,False,Individual,None,500,450,0,8654,False
Robert Freeman,"7519 Christina Course,Willieside, MD 30001",Jenniferport,001-548-086-5385x7769,Standard,True,Individual,None,350,400,1813,795,False
Joshua Adams,"243 Kelly Heights Apt. 484,West Christopher, KY 87094",South Phillipfurt,390-966-0868x012,HD,True,Individual,Other,500,450,551,139,False
Nicole Deleon,"PSC 4735, Box 7683,APO AE 79790",Lake John,(446)430-7093,Standard,False,Home,Amazon Prime Video,350,400,0,323,False
Kevin Hanna,"008 Brown Prairie,Danielleberg, DC 81501",South Kellyfort,774.038.8408x5399,UHD,True,Individual,Amazon Prime Video,700,500,753,351,False
John Phillips,"78866 Melissa Brook Apt. 634,Francisbury, NE 32886",Port Michaelport,1056151780,HD,True,Home,None,500,450,1143,238,False
Regina Chavez,"28735 Shawn Port Suite 105,Yodermouth, AZ 23495",Lauraville,001-662-287-1499x729,HD,True,Home,Other,500,450,128,13,False
Stephanie Robinson,"98594 Mckinney Rest,South Isaiahberg, VA 44430",Maryborough,886-073-2219,Standard,True,Individual,Other,350,400,275,45,False
Michael Hudson,"5797 Lawrence Garden,Lake Tracymouth, IN 96777",Garyberg,+1-778-959-8134x10158,Standard,True,Individual,None,350,400,410,167,False
Sarah Garcia,"785 Brittany Row Apt. 208,Lake Andrewmouth, AZ 47429",Port Raymond,828-972-2326,HD,False,Individual,None,500,450,0,8060,False
Melissa Dickerson,"380 Robyn Station,East Jonathan, MS 14190",North Glenn,737.585.5822x9159,Standard,False,Home,None,350,400,0,4148,False
Brandon Orozco,"Unit 7279 Box 9548,DPO AP 16988",Port Alicefort,(617)295-8403x2848,Standard,True,Home,None,350,400,618,148,False
Stephen Warren,"PSC 3236, Box 4581,APO AP 39456",West Jacquelineside,+1-367-459-6934x14315,Standard,True,Home,Hulu,350,400,1853,695,True
George Jennings,"84990 Lindsay Unions,Port Maria, KS 16175",Velazquezshire,302-106-2246x77198,Standard,True,Individual,Amazon Prime Video,350,400,639,41,False
David Navarro,"2778 Jeffrey Club,North Travishaven, TN 15002",New Glorialand,516-279-0944,Standard,True,Individual,Amazon Prime Video,350,400,1197,147,False
Kathy Simpson,"92214 Ross Estates Apt. 840,West Adambury, WV 22111",Zavalaview,001-693-242-1659,Standard,True,Individual,Amazon Prime Video,350,400,1561,548,True
Susan Mcdonald,"219 Donna Lakes,Juliechester, SC 11491",Matthewsfort,(783)978-1887x1203,Standard,True,Individual,None,350,400,1213,68,False
Michael Moore,"18511 Smith Fields Apt. 722,Banksmouth, OR 27062",North Davidberg,901-311-2373x2629,Standard,True,Home,Amazon Prime Video,350,400,245,55,False
Hannah Thomas,"7755 Grace Radial Suite 024,North Jessicaburgh, NH 08786",Lake Derrickburgh,+1-477-591-1569x96126,UHD,True,Home,None,700,500,1907,127,False
Tonya Wilson,"8755 Amanda Corner,Meaganside, SD 60279",South Brett,756.145.7029,Standard,True,Individual,Amazon Prime Video,350,400,318,124,False
Linda Hubbard,"PSC 1466, Box 9807,APO AA 94941",Gomezbury,384.664.3726x48183,Standard,True,Individual,Other,350,400,907,111,False
Emily Wilson,"2537 Pitts Lodge Suite 484,Smallland, PA 62014",Brownfurt,(322)929-4645x347,Standard,True,Individual,Amazon Prime Video,350,400,1773,710,False
William Hanson,"41346 Terrell Street Apt. 426,South Michellestad, AZ 85581",New Scottborough,(531)767-3041x056,HD,True,Individual,Netflix,500,450,1269,1,False
John Donovan,"666 Garcia Causeway,Jenniferberg, ME 56604",Juliaville,015-905-4618x1463,Standard,True,Individual,Netflix,350,400,1986,564,False
Steven Kennedy,"49309 Nathaniel Island Suite 736,Port Brandiburgh, AK 57154",North Sharontown,(597)263-7807,Standard,True,Individual,Netflix,350,400,668,123,True
Nathaniel Pennington,"9032 Natalie Estates,North Danielville, SC 74159",East Zachary,(912)151-0441x4174,UHD,True,Home,Netflix,700,500,384,190,True
Andrew Coffey,"USCGC Allen,FPO AP 50891",Lake Katherineside,275.931.6601x1116,Standard,False,Individual,None,350,400,0,5761,True
Alexander Khan,"954 Jones Haven Suite 511,Hardinview, PA 94568",Millerborough,001-770-397-9077,Standard,True,Home,Other,350,400,1632,126,False
Erica Ward,"332 Matthew Trail,Owenshaven, IL 59951",Mccarthyshire,823.438.1755,HD,False,Individual,None,500,450,0,8676,False
Christine Jackson,"25957 Lyons Gateway Apt. 912,Anthonymouth, NC 39132",Crystalshire,(387)878-9735,Standard,True,Individual,Amazon Prime Video,350,400,609,31,True
Michael Love,"70433 Brian Villages,South Ariel, LA 79480",Lake Angelaland,001-486-732-4169x67089,Standard,False,Home,Hulu,350,400,0,921,False
Thomas Thompson,"929 Caitlin Flat,Lake Michaelmouth, WY 16223",New Brian,+1-124-934-4337,HD,False,Individual,None,500,450,0,7681,False
Gregory Guerrero,"0584 Frank Lake,Padillamouth, NY 84058",Davidville,233-729-5928,Standard,True,Individual,Netflix,350,400,606,275,False
